FIPS,Admin2,Province_State,Population,Cumulative deaths by /30/20,cumulative_deaths_by_100k_pop,FIPS,Admin2,Cumulative confirmed cases by 03/09/2023,cumulative_confirmed_cases_by_100k_pop
5045,Faulkner,Arkansas,126007,20,1.200635324,5045,Faulkner,42997,34122.70747
5047,Franklin,Arkansas,17715,2,1.052688839,5047,Franklin,4488,25334.46232
5049,Fulton,Arkansas,12477,4,1.505949816,5049,Fulton,3108,24909.83409
5051,Garland,Arkansas,99386,53,1.726950658,5051,Garland,27083,27250.31695
5053,Grant,Arkansas,18265,2,1.039410319,5053,Grant,5252,28754.4484
5055,Greene,Arkansas,45325,10,1.343662187,5055,Greene,19801,43686.70712
5057,Hempstead,Arkansas,21532,4,1.26897562,5057,Hempstead,5638,26184.28386
5059,Hot Spring,Arkansas,33771,27,1.902819843,5059,Hot Spring,13058,38666.31133
5061,Howard,Arkansas,13202,12,1.958541518,5061,Howard,4657,35274.95834
5063,Independence,Arkansas,37825,21,1.744440358,5063,Independence,12797,33832.12161
5065,Izard,Arkansas,13629,0,0,5065,Izard,4712,34573.33627
5067,Jackson,Arkansas,16719,1,0.776789702,5067,Jackson,7280,43543.27412
5069,Jefferson,Arkansas,66824,79,2.072694623,5069,Jefferson,22364,33467.01784
5071,Johnson,Arkansas,26578,7,1.420575743,5071,Johnson,8197,30841.29731
5073,Lafayette,Arkansas,6624,2,1.479909672,5073,Lafayette,1507,22750.60386
5075,Lawrence,Arkansas,16406,12,1.864178539,5075,Lawrence,6526,39778.12995
5077,Lee,Arkansas,8857,18,2.30798586,5077,Lee,3344,37755.44767
5079,Lincoln,Arkansas,13024,15,2.061346872,5079,Lincoln,5502,42245.086
5081,Little River,Arkansas,12259,26,2.326518303,5081,Little River,3888,31715.47435
5083,Logan,Arkansas,21466,1,0.668248875,5083,Logan,6069,28272.61716
5085,Lonoke,Arkansas,73309,17,1.365291626,5085,Lonoke,23994,32729.9513
5087,Madison,Arkansas,16576,3,1.257641517,5087,Madison,4857,29301.39961
5089,Marion,Arkansas,16694,0,0,5089,Marion,4100,24559.72206
5091,Miller,Arkansas,43257,11,1.405336289,5091,Miller,11628,26881.19842
5093,Mississippi,Arkansas,40651,51,2.098498943,5093,Mississippi,16411,40370.47059
5095,Monroe,Arkansas,6701,0,0,5095,Monroe,2309,34457.54365
5097,Montgomery,Arkansas,8986,6,1.824584836,5097,Montgomery,1770,19697.30692
5099,Nevada,Arkansas,8252,13,2.197384133,5099,Nevada,2770,33567.61997
5101,Newton,Arkansas,7753,19,2.389283817,5101,Newton,2051,26454.27576
5103,Ouachita,Arkansas,23382,6,1.409269594,5103,Ouachita,6776,28979.55692
5105,Perry,Arkansas,10455,0,0,5105,Perry,3017,28857.00622
5107,Phillips,Arkansas,17782,12,1.82920064,5107,Phillips,5887,33106.5122
5109,Pike,Arkansas,10718,3,1.447007502,5109,Pike,2964,27654.41314
5111,Poinsett,Arkansas,23528,14,1.774543024,5111,Poinsett,10113,42982.82897
5113,Polk,Arkansas,19964,4,1.30181243,5113,Polk,4652,23301.9435
5115,Pope,Arkansas,64072,33,1.711845659,5115,Pope,20964,32719.44063
5117,Prairie,Arkansas,8062,2,1.394587202,5117,Prairie,2416,29967.74994
5119,Pulaski,Arkansas,391911,153,1.591503978,5119,Pulaski,127945,32646.44269
5121,Randolph,Arkansas,17958,22,2.088164714,5121,Randolph,6456,35950.55129
5123,St. Francis,Arkansas,24994,6,1.380315485,5123,St. Francis,8565,34268.22437
5125,Saline,Arkansas,122437,23,1.273815156,5125,Saline,37142,30335.60117
5127,Scott,Arkansas,10281,1,0.987964641,5127,Scott,2852,27740.49217
5129,Searcy,Arkansas,7881,1,1.103418672,5129,Searcy,2562,32508.5649
5131,Sebastian,Arkansas,127827,61,1.678707238,5131,Sebastian,39338,30774.40603
5133,Sevier,Arkansas,17007,18,2.024644794,5133,Sevier,7125,41894.51402
5135,Sharp,Arkansas,17442,6,1.536554968,5135,Sharp,5714,32760.00459
5137,Stone,Arkansas,12506,13,2.016824928,5137,Stone,3702,29601.79114
5139,Union,Arkansas,38682,40,2.014551071,5139,Union,11292,29191.87219
5141,Van Buren,Arkansas,16545,3,1.258454483,5141,Van Buren,4340,26231.48988
5143,Washington,Arkansas,239187,118,1.693144436,5143,Washington,80947,33842.55833
5145,White,Arkansas,78753,29,1.566130891,5145,White,27120,34436.78336
5147,Woodruff,Arkansas,6320,0,0,5147,Woodruff,2274,35981.01266
5149,Yell,Arkansas,21341,29,2.133183232,5149,Yell,7596,35593.4586
6001,Alameda,California,1671329,380,1.356721648,6001,Alameda,402160,24062.28816
6003,Alpine,California,1129,0,0,6003,Alpine,143,12666.07617
6005,Amador,California,39752,16,1.604760999,6005,Amador,11553,29062.68867
6007,Butte,California,219186,44,1.302639865,6007,Butte,51967,23709.08726
6009,Calaveras,California,45905,11,1.379532693,6009,Calaveras,9650,21021.6752
6011,Colusa,California,21547,6,1.444764439,6011,Colusa,5346,24810.87854
6013,Contra Costa,California,1153526,211,1.262255068,6013,Contra Costa,295633,25628.63776
6015,Del Norte,California,27812,2,0.856797775,6015,Del Norte,8405,30220.76801
6017,El Dorado,California,192843,4,0.316856112,6017,El Dorado,39170,20311.85991
6019,Fresno,California,999101,395,1.596987702,6019,Fresno,329460,32975.6451
6021,Glenn,California,28393,3,1.023909972,6021,Glenn,7811,27510.30183
6023,Humboldt,California,135558,6,0.646026098,6023,Humboldt,29324,21632.06893
6025,Imperial,California,181215,287,2.199687753,6025,Imperial,88972,49097.48089
6027,Inyo,California,18039,14,1.889915577,6027,Inyo,6072,33660.40246
6029,Kern,California,900202,370,1.613861751,6029,Kern,310792,34524.69557
6031,Kings,California,152940,79,1.713106005,6031,Kings,67356,44040.80031
6033,Lake,California,64386,10,1.191208555,6033,Lake,14941,23205.3552
6035,Lassen,California,30573,0,0,6035,Lassen,11319,37022.86331
6037,Los Angeles,California,10039107,6576,1.816266721,6037,Los Angeles,3710586,36961.31538
6039,Madera,California,157327,47,1.475294597,6039,Madera,55217,35096.96365
6041,Marin,California,258826,91,1.546033492,6041,Marin,54908,21214.25205
6043,Mariposa,California,17203,2,1.065425806,6043,Mariposa,4545,26419.8105
6045,Mendocino,California,86749,17,1.292184444,6045,Mendocino,21739,25059.65487
6047,Merced,California,277680,136,1.689994308,6047,Merced,89409,32198.5739
6049,Modoc,California,8841,0,0,6049,Modoc,1327,15009.6143
6051,Mono,California,14444,1,0.84031252,6051,Mono,3633,25152.31238
6053,Monterey,California,434061,70,1.207547273,6053,Monterey,122120,28134.29449
6055,Napa,California,137744,11,0.902319995,6055,Napa,35992,26129.63178
6057,Nevada,California,99755,6,0.779216577,6057,Nevada,22495,22550.24811
6059,Orange,California,3175692,1268,1.601280879,6059,Orange,788663,24834.36681
6061,Placer,California,398329,43,1.03322653,6061,Placer,91376,22939.83114
6063,Plumas,California,18807,0,0,6063,Plumas,4290,22810.65561
6065,Riverside,California,2470546,1220,1.693566886,6065,Riverside,776620,31435.15644
6067,Sacramento,California,1552058,429,1.441549345,6067,Sacramento,409095,26358.22888
6069,San Benito,California,62808,12,1.281166282,6069,San Benito,18800,29932.49268
6071,San Bernardino,California,2180085,1018,1.669274351,6071,San Bernardino,745179,34181.19018
6073,San Diego,California,3338330,783,1.370232497,6073,San Diego,1067659,31981.82924
6075,San Francisco,California,881549,106,1.080059408,6075,San Francisco,209846,23804.2355
6077,San Joaquin,California,762148,461,1.781661611,6077,San Joaquin,227031,29788.30883
6079,San Luis Obispo,California,283111,31,1.03940495,6079,San Luis Obispo,74632,26361.39182
6081,San Mateo,California,766573,128,1.222656451,6081,San Mateo,194587,25384.01431
6083,Santa Barbara,California,446499,115,1.41087735,6083,Santa Barbara,119952,26865.00978
6085,Santa Clara,California,1927852,302,1.194933253,6085,Santa Clara,497526,25807.27151
6087,Santa Cruz,California,273213,10,0.56349864,6087,Santa Cruz,72428,26509.71952
6089,Shasta,California,180080,27,1.175898282,6089,Shasta,44785,24869.50244
6091,Sierra,California,3005,0,0,6091,Sierra,372,12379.36772
6093,Siskiyou,California,43539,0,0,6093,Siskiyou,8908,20459.81763
6095,Solano,California,447643,51,1.056638378,6095,Solano,122718,27414.25645
6097,Sonoma,California,494336,125,1.402887774,6097,Sonoma,119546,24183.14669
6099,Stanislaus,California,550660,363,1.819023095,6099,Stanislaus,168343,30571.13282
6101,Sutter,California,96971,10,1.013358126,6101,Sutter,28309,29193.26397
6103,Tehama,California,65084,3,0.663647018,6103,Tehama,17875,27464.50741
6105,Trinity,California,12285,0,0,6105,Trinity,1981,16125.35613
6107,Tulare,California,466195,274,1.769182951,6107,Tulare,168754,36198.15742
6109,Tuolumne,California,54478,2,0.56480884,6109,Tuolumne,17914,32882.99864
6111,Ventura,California,846006,145,1.233994559,6111,Ventura,239184,28272.13991
6113,Yolo,California,220500,55,1.396954096,6113,Yolo,54973,24931.06576
6115,Yuba,California,78668,8,1.007291878,6115,Yuba,21924,27869.01917
8001,Adams,Colorado,517421,251,1.68582967,8001,Adams,166371,32153.89402
8003,Alamosa,Colorado,16233,9,1.743843721,8003,Alamosa,5953,36672.21093
8005,Arapahoe,Colorado,656590,380,1.762489333,8005,Arapahoe,197066,30013.55488
8007,Archuleta,Colorado,14029,0,0,8007,Archuleta,3534,25190.67646
8009,Baca,Colorado,3581,0,0,8009,Baca,1027,28679.13991
8011,Bent,Colorado,5577,0,0,8011,Bent,3004,53864.08463
8013,Boulder,Colorado,326196,75,1.361582632,8013,Boulder,91179,27952.21278
8014,Broomfield,Colorado,70465,38,1.73181014,8014,Broomfield,18376,26078.19485
8015,Chaffee,Colorado,20356,17,1.921756479,8015,Chaffee,5662,27814.89487
8017,Cheyenne,Colorado,1831,0,0,8017,Cheyenne,392,21409.06608
8019,Clear Creek,Colorado,9700,1,1.013228266,8019,Clear Creek,1931,19907.21649
8021,Conejos,Colorado,8205,0,0,8021,Conejos,2303,28068.25107
8023,Costilla,Colorado,3887,1,1.410385459,8023,Costilla,961,24723.4371
8025,Crowley,Colorado,6061,1,1.217455716,8025,Crowley,3558,58703.18429
8027,Custer,Colorado,5068,0,0,8027,Custer,837,16515.39069
8029,Delta,Colorado,31162,1,0.506374677,8029,Delta,7202,23111.48193
8031,Denver,Colorado,727211,428,1.76978333,8031,Denver,224919,30928.9876
8033,Dolores,Colorado,2055,0,0,8033,Dolores,424,20632.60341
8035,Douglas,Colorado,351154,60,1.23265363,8035,Douglas,100968,28753.1966
8037,Eagle,Colorado,55127,10,1.258635641,8037,Eagle,18833,34162.93286
8039,Elbert,Colorado,26729,3,1.050138544,8039,Elbert,5836,21833.96311
8041,El Paso,Colorado,720403,189,1.418886291,8041,El Paso,237195,32925.32097
8043,Fremont,Colorado,47839,1,0.320217907,8043,Fremont,18767,39229.49894
8045,Garfield,Colorado,60061,4,0.823467433,8045,Garfield,18041,30037.79491
8047,Gilpin,Colorado,6243,0,0,8047,Gilpin,1171,18757.00785
8049,Grand,Colorado,15734,1,0.803160854,8049,Grand,4053,25759.50172
8051,Gunnison,Colorado,17462,5,1.45687602,8051,Gunnison,3970,22735.08189
8053,Hinsdale,Colorado,820,0,0,8053,Hinsdale,161,19634.14634
8055,Huerfano,Colorado,6897,1,1.161339774,8055,Huerfano,1764,25576.33754
8057,Jackson,Colorado,1392,0,0,8057,Jackson,195,14008.62069
8059,Jefferson,Colorado,582881,260,1.649393449,8059,Jefferson,160677,27566.00404
8061,Kiowa,Colorado,1406,0,0,8061,Kiowa,392,27880.51209
8063,Kit Carson,Colorado,7097,3,1.626046449,8063,Kit Carson,1877,26447.79484
8065,Lake,Colorado,8127,0,0,8065,Lake,2203,27107.17362
8067,La Plata,Colorado,56221,2,0.55113143,8067,La Plata,15836,28167.41075
8069,Larimer,Colorado,356899,53,1.171730539,8069,Larimer,109313,30628.55318
8071,Las Animas,Colorado,14506,0,0,8071,Las Animas,4408,30387.42589
8073,Lincoln,Colorado,5701,0,0,8073,Lincoln,2382,41782.14348
8075,Logan,Colorado,22409,11,1.690970209,8075,Logan,8661,38649.64969
8077,Mesa,Colorado,154210,7,0.656985503,8077,Mesa,51841,33617.14545
8079,Mineral,Colorado,769,0,0,8079,Mineral,303,39401.82055
8081,Moffat,Colorado,13283,1,0.876703827,8081,Moffat,3738,28141.23316
8083,Montezuma,Colorado,26183,5,1.280950599,8083,Montezuma,7673,29305.27441
8085,Montrose,Colorado,42758,14,1.515110653,8085,Montrose,11179,26144.81501
8087,Morgan,Colorado,29068,48,2.217826086,8087,Morgan,6973,23988.57851
8089,Otero,Colorado,18278,5,1.437041331,8089,Otero,5320,29106.02911
8091,Ouray,Colorado,4952,1,1.305219364,8091,Ouray,1118,22576.73667
8093,Park,Colorado,18845,1,0.724803858,8093,Park,3499,18567.25922
8095,Phillips,Colorado,4265,0,0,8095,Phillips,1123,26330.59789
8097,Pitkin,Colorado,17767,2,1.051415893,8097,Pitkin,8081,45483.19919
8099,Prowers,Colorado,12172,0,0,8099,Prowers,3226,26503.45054
8101,Pueblo,Colorado,168424,35,1.317664067,8101,Pueblo,61961,36788.69995
8103,Rio Blanco,Colorado,6324,0,0,8103,Rio Blanco,2236,35357.36875
8105,Rio Grande,Colorado,11267,2,1.249221701,8105,Rio Grande,3634,32253.48362
8107,Routt,Colorado,25638,8,1.494205844,8107,Routt,7882,30743.42772
8109,Saguache,Colorado,6824,2,1.466990977,8109,Saguache,1524,22332.94256
8111,San Juan,Colorado,728,0,0,8111,San Juan,316,43406.59341
8113,San Miguel,Colorado,8179,0,0,8113,San Miguel,2713,33170.31422
8115,Sedgwick,Colorado,2248,1,1.648203693,8115,Sedgwick,582,25889.67972
8117,Summit,Colorado,31011,3,0.985605484,8117,Summit,12072,38928.12228
8119,Teller,Colorado,25388,4,1.197431502,8119,Teller,5913,23290.53096
8121,Washington,Colorado,4908,0,0,8121,Washington,1262,25713.12143
8123,Weld,Colorado,324492,150,1.664887265,8123,Weld,106227,32736.40028
8125,Yuma,Colorado,10019,1,0.999175623,8125,Yuma,2342,23375.58639
9001,Fairfield,Connecticut,943332,1422,2.178235029,9001,Fairfield,264399,28028.20216
9003,Hartford,Connecticut,891720,1437,2.207228261,9003,Hartford,237105,26589.62455
9005,Litchfield,Connecticut,180333,141,1.893143905,9005,Litchfield,41816,23188.21292
9007,Middlesex,Connecticut,162436,193,2.074875023,9007,Middlesex,38840,23910.9557
9009,New Haven,Connecticut,854757,1115,2.115432201,9009,New Haven,257919,30174.54083
9011,New London,Connecticut,265206,117,1.644602516,9011,New London,73980,27895.29649
9013,Tolland,Connecticut,150721,67,1.647901036,9013,Tolland,27913,18519.64889
9015,Windham,Connecticut,116782,16,1.136744074,9015,Windham,31414,26899.69345
10001,Kent,Delaware,180786,118,1.814717211,10001,Kent,64447,35648.22497
10003,New Castle,Delaware,558753,326,1.765997732,10003,New Castle,186969,33461.83376
10005,Sussex,Delaware,234225,208,1.948430087,10005,Sussex,78267,33415.3058
11001,District of Columbia,District of Columbia,705749,627,1.948617269,11001,District of Columbia,177945,25213.63828
12001,Alachua,Florida,269043,60,1.348329553,12001,Alachua,89806,33379.79431
12003,Baker,Florida,29210,13,1.648411795,12003,Baker,10746,36788.77097
12005,Bay,Florida,174705,108,1.791118421,12005,Bay,56189,32162.21631
12007,Bradford,Florida,28201,9,1.503978001,12007,Bradford,9245,32782.52544
12009,Brevard,Florida,601942,298,1.694661617,12009,Brevard,175277,29118.58618
12011,Broward,Florida,1952778,1396,1.854232545,12011,Broward,774980,39686.02678
12013,Calhoun,Florida,14105,11,1.892019595,12013,Calhoun,4939,35015.95179
12015,Charlotte,Florida,188910,136,1.85728396,12015,Charlotte,48860,25864.16812
12017,Citrus,Florida,149657,106,1.85020883,12017,Citrus,39070,26106.36322
12019,Clay,Florida,219252,100,1.659056436,12019,Clay,67269,30681.13404
12021,Collier,Florida,384902,221,1.759042106,12021,Collier,106604,27696.40064
12023,Columbia,Florida,71686,58,1.907993646,12023,Columbia,25731,35894.03789
12027,DeSoto,Florida,38001,25,1.818144983,12027,DeSoto,11287,29701.84995
12029,Dixie,Florida,16826,9,1.728261625,12029,Dixie,4938,29347.43849
